type,state,regiment,brigade,division,corps,army,men,killed,wounded,captured,missing,total_casualties,3inch_rifles,4.5inch_rifles,10lb_parrots,12lb_howitzers,12lb_napoleons,6lb_howitzers,24lb_howitzers,20lb_parrots,12lb_whitworths,14lb_rifles,Total Guns
Artillery,New York,Bty_13_Light,Osborn,Artillery_Bde,Howard,Union,110,0,8,0,3,11,4,,,,,,,,,,4
Artillery,Ohio,Bty_I_1st_Light,Osborn,Artillery_Bde,Howard,Union,127,6,9,0,0,15,,,,,6,,,,,,6
Artillery,Ohio,Bty_K_1st_Light,Osborn,Artillery_Bde,Howard,Union,110,5,10,0,1,16,,,,,4,,,,,,4
Artillery,US,Bty_G_4th,Osborn,Artillery_Bde,Howard,Union,115,2,11,4,0,17,,,,,6,,,,,,6
Infantry,Connecticut,5th,McDougall,Williams,Slocum,Union,221,0,3,8,0,11,,,,,,,,,,,0
Infantry,Connecticut,20th,McDougall,Williams,Slocum,Union,321,9,19,0,0,28,,,,,,,,,,,0
Infantry,Maryland,3rd,McDougall,Williams,Slocum,Union,290,1,7,0,0,8,,,,,,,,,,,0
Infantry,New York,123rd,McDougall,Williams,Slocum,Union,495,4,9,1,0,14,,,,,,,,,,,0
Infantry,New York,145th,McDougall,Williams,Slocum,Union,245,2,8,0,0,10,,,,,,,,,,,0
Infantry,Pennsylvania,46th,McDougall,Williams,Slocum,Union,262,2,8,0,1,11,,,,,,,,,,,0
Infantry,Maryland,1st_Potomac,Lockwood,Williams,Slocum,Union,674,27,78,0,1,106,,,,,,,,,,,0
Infantry,Maryland,1st_EasternShore,Lockwood,Williams,Slocum,Union,532,7,16,0,2,25,,,,,,,,,,,0
Infantry,New York,150th,Lockwood,Williams,Slocum,Union,609,8,23,1,14,46,,,,,,,,,,,0
Infantry,Indiana,27th,Ruger,Williams,Slocum,Union,339,34,105,0,0,139,,,,,,,,,,,0
Infantry,Massachusetts,2nd,Ruger,Williams,Slocum,Union,316,44,89,5,1,139,,,,,,,,,,,0
Infantry,New Jersey,13th,Ruger,Williams,Slocum,Union,347,2,19,0,0,21,,,,,,,,,,,0
Infantry,New York,107th,Ruger,Williams,Slocum,Union,319,1,2,0,0,3,,,,,,,,,,,0
Infantry,Wisconsin,3rd,Ruger,Williams,Slocum,Union,260,2,10,0,0,12,,,,,,,,,,,0
Infantry,Ohio,5th,Candy,Geary,Slocum,Union,299,6,11,0,0,17,,,,,,,,,,,0
Infantry,Ohio,7th,Candy,Geary,Slocum,Union,282,2,16,0,0,18,,,,,,,,,,,0
Infantry,Ohio,29th,Candy,Geary,Slocum,Union,315,9,30,0,0,39,,,,,,,,,,,0
Infantry,Ohio,66th,Candy,Geary,Slocum,Union,299,3,15,0,0,18,,,,,,,,,,,0
Infantry,Pennsylvania,28th,Candy,Geary,Slocum,Union,303,6,21,1,0,28,,,,,,,,,,,0
Infantry,Pennsylvania,147th,Candy,Geary,Slocum,Union,298,7,7,0,0,14,,,,,,,,,,,0
Infantry,Pennsylvania,29th,Cobham,Geary,Slocum,Union,357,19,42,2,13,76,,,,,,,,,,,0
Infantry,Pennsylvania,109th,Cobham,Geary,Slocum,Union,149,4,6,0,8,18,,,,,,,,,,,0
Infantry,Pennsylvania,111th,Cobham,Geary,Slocum,Union,191,6,17,0,1,24,,,,,,,,,,,0
Infantry,New York,60th,Greene,Geary,Slocum,Union,273,19,33,1,0,53,,,,,,,,,,,0
Infantry,New York,78th,Greene,Geary,Slocum,Union,198,7,22,2,0,31,,,,,,,,,,,0
Infantry,New York,102nd,Greene,Geary,Slocum,Union,230,7,16,1,8,32,,,,,,,,,,,0
Infantry,New York,137th,Greene,Geary,Slocum,Union,423,49,76,13,6,144,,,,,,,,,,,0
Infantry,New York,149th,Greene,Geary,Slocum,Union,297,11,32,0,0,43,,,,,,,,,,,0
Artillery,New York,Bty_M_1st_Light,Muhlenberg,Artillery_Bde,Slocum,Union,97,0,0,0,0,0,,,4,,,,,,,,4
Artillery,Pennsylvania,Bty_E_Light,Muhlenberg,Artillery_Bde,Slocum,Union,139,1,2,0,0,3,,,6,,,,,,,,6
Artillery,US,Bty_F_4th_Light,Muhlenberg,Artillery_Bde,Slocum,Union,89,0,1,0,0,1,,,,,6,,,,,,6
Artillery,US,Bty_K_5th_Light,Muhlenberg,Artillery_Bde,Slocum,Union,72,1,1,0,0,2,,,,,4,,,,,,4
Cavalry,Illinois,8th,Gamble,Buford,Pleasonton,Union,470,0,4,0,1,5,,,,,,,,,,,0
Cavalry,Illinois,12th,Gamble,Buford,Pleasonton,Union,233,8,7,0,5,20,,,,,,,,,,,0
Cavalry,Indiana,3rd,Gamble,Buford,Pleasonton,Union,313,13,14,0,5,32,,,,,,,,,,,0
Cavalry,New York,8th,Gamble,Buford,Pleasonton,Union,580,5,20,7,13,45,,,,,,,,,,,0
Artillery,US,Bty_A_2nd,Gamble,Buford,Pleasonton,Union,81,0,12,0,0,12,6,,,,,,,,,,6
Cavalry,New York,6th,Devin,Buford,Pleasonton,Union,218,2,0,1,7,10,,,,,,,,,,,0
Cavalry,New York,9th,Devin,Buford,Pleasonton,Union,367,3,1,0,4,8,,,,,,,,,,,0
Cavalry,Pennsylvania,17th,Devin,Buford,Pleasonton,Union,464,0,0,0,3,3,,,,,,,,,,,0
Cavalry,West Virginia,3rd,Devin,Buford,Pleasonton,Union,59,0,0,0,4,4,,,,,,,,,,,0
Cavalry,Pennsylvania,6th,Merritt,Buford,Pleasonton,Union,242,1,11,0,1,13,,,,,,,,,,,0
Cavalry,US,1st,Merritt,Buford,Pleasonton,Union,362,5,8,0,3,16,,,,,,,,,,,0
Cavalry,US,2nd,Merritt,Buford,Pleasonton,Union,407,6,4,0,6,16,,,,,,,,,,,0
Cavalry,US,5th,Merritt,Buford,Pleasonton,Union,306,0,4,0,1,5,,,,,,,,,,,0
Artillery,US,Bty_K_1st ,Buford,Buford,Pleasonton,Union,114,0,1,0,0,1,6,,,,,,,,,,6
Cavalry,Maryland,1st,McIntosh,Gregg,Pleasonton,Union,285,0,2,0,1,3,,,,,,,,,,,0
Cavalry,New Jersey,1st,McIntosh,Gregg,Pleasonton,Union,199,0,9,0,0,9,,,,,,,,,,,0
Cavalry,Pennsylvania,3rd,McIntosh,Gregg,Pleasonton,Union,324,0,7,0,3,10,,,,,,,,,,,0
